Code;NameRu;NameEn;NameUa;CountryCode;CityCode;Popularity;Latitude;Longitude
BKK;Суварнабуми;Suvarnabhumi;Суварнабумі;TH;BKK;111;13.6897;100.742
BKL;Burke Lakefront;Burke Lakefront;Burke Lakefront;US;CLE;0;41.5169;-81.6833
BKO;Senou;Senou;Senou;ML;BKO;0;12.6322;-8.02667
BKQ;Blackall;Blackall;Blackall;AU;BKQ;0;-24.4342;145.428
BKS;Padangkemiling;Padangkemiling;Padangkemiling;ID;BKS;0;-3.76667;102.3
BKW;Raleigh Cty Memorial;Raleigh Cty Memorial;Raleigh Cty Memorial;US;BKW;0;37.7819;-81.1242
BLA;Gen J A Anzoategui;Gen J A Anzoategui;Gen J A Anzoategui;VE;BLA;0;10.1097;-64.6875
BLE;Dala;Dala;Dala;SE;BLE;0;60.4233;15.5181
BLI;Bellingham;Bellingham;Bellingham;US;BLI;0;48.7944;-122.535
BLK;Блекпул;Blackpool;Блекпул;GB;BLK;0;53.7719;-3.03611
BLL;Биллунд;Billund;Біллунд;DK;BLL;0;55.7383;9.15
BLQ;Гильельмо Маркони;Guglielmo Marconi;Гілієльмо Марконі;IT;BLQ;20;44.5306;11.2925
BLR;Hindustan;Hindustan;Hindustan;IN;BLR;2;13.1979;77.7063
BLT;Blackwater;Blackwater;Blackwater;AU;BLT;0;-23.5833;148.883
BLZ;Chileka;Chileka;Chileka;MW;BLZ;0;-15.6747;34.9708
BMA;Bromma;Bromma;Bromma;SE;STO;0;59.3528;17.9464
BME;Broome;Broome;Broome;AU;BME;0;-17.95;122.23
BMI;Normal;Normal;Normal;US;BMI;0;40.4819;-88.9275
BMV;Phung Duc;Phung Duc;Phung Duc;VN;BMV;0;12.6667;108.05
BNA;Нэшвилл;Nashville;Нешвілл;US;BNA;0;36.1267;-86.6819
BNE;Брисбен;Brisbane;Брісбен;AU;BNE;6;-27.425;153.086
BNJ;Бонн ж/д вокзал;Bonn Railroad Station;Бонн ж/д вокзал;DE;BNJ;0;0;0
BNK;Ballina;Ballina;Ballina;AU;BNK;0;-28.8333;153.55
BNN;Bronnoy;Bronnoy;Bronnoy;NO;BNN;0;65.4603;12.2069
BNX;Баня-Лука;Banja Luka;Баня-Лука;BA;BNX;0;44.9333;17.3
BOB;Motu Mute;Motu Mute;Motu Mute;PF;BOB;2;-16.4431;-151.748
BOC;Bocas Del Toro;Bocas Del Toro;Bocas Del Toro;PA;BOC;0;9.34;-82.2519
